Begin
Захват произведен.
U 0: 65470
U 1: 908
U 2: 1883
U 3: 2859
U 4: 3834
U 5: 4809
U 6: 5783
U 7: 6757
U 8: 7732
U 9: 8707
U 10: 9681
U 11: 10656
U 12: 11630
U 13: 12605
U 14: 13580
U 15: 14553
U 16: 15528
U 17: 16503
U 18: 17478
U 19: 18454
U 20: 19429
U 21: 20405
U 22: 21380
U 23: 22354
U 24: 23329
U 25: 24304
U 26: 25279
U 27: 26253
U 28: 27227
U 29: 28202
U 30: 29176
U 31: 30151
U 32: 31125
U 33: 32099
U 34: 33072
U 35: 34047
U 36: 35022
U 37: 35996
U 38: 36970
U 39: 37944
U 40: 38919
U 41: 39894
U 42: 40868
U 43: 41843
U 44: 42817
U 45: 43792
U 46: 44767
U 47: 45742
U 48: 46718
U 49: 47694
U 50: 48669
U 51: 49644
U 52: 50619
U 53: 51594
U 54: 52568
U 55: 53543
U 56: 54518
U 57: 55492
U 58: 56467
U 59: 57442
U 60: 60000
---
I 0: 0
I 1: 749
I 2: 1564
I 3: 2379
I 4: 3194
I 5: 4009
I 6: 4824
I 7: 5639
I 8: 6455
I 9: 7270
I 10: 8085
I 11: 8900
I 12: 9715
I 13: 10529
I 14: 11343
I 15: 12158
I 16: 12973
I 17: 13788
I 18: 14602
I 19: 15416
I 20: 16231
I 21: 17046
I 22: 17861
I 23: 18675
I 24: 19489
I 25: 20304
I 26: 21120
I 27: 21934
I 28: 22749
I 29: 23563
I 30: 24377
I 31: 25193
I 32: 26008
I 33: 26823
I 34: 27638
I 35: 28454
I 36: 29271
I 37: 30085
I 38: 30901
I 39: 31716
I 40: 32531
I 41: 33346
I 42: 34162
I 43: 34977
I 44: 35793
I 45: 36609
I 46: 37425
I 47: 38242
I 48: 39059
I 49: 39874
I 50: 40690
I 51: 41505
I 52: 42320
I 53: 43135
I 54: 43951
I 55: 44766
I 56: 45582
I 57: 46398
I 58: 47215
I 59: 48030
I 60: 48846
End
